Movie Title,Movie Rating,Movie Votings,Movie Durations,Genres
Je Jatt Vigarh Gya,5.7,812,132,Action
Guntur Kaaram,5.4,25000,159,Action
A.R.M,7.1,8500,150,Action
Vedaa,6.0,4200,145,Action
Devaki Nandana Vasudeva,8.9,2700,128,Action
Rogue Elements: A Ryan Drake Story,4.9,911,44,Action
Memes & Nightmares,5.7,71,81,Action
12 to Midnight,3.6,270,96,Action
Mission: Cross,6.1,2500,105,Action
Roadkill,3.6,672,90,Action
The Firefighters,5.8,142,106,Action
Escape from the 21st Century,6.5,800,98,Action
UI,6.9,5600,135,Action
Bachhala Malli,8.3,3900,140,Action
Lady Scorpions,3.6,361,101,Action
How to Rob a Bank,6.6,4100,88,Action
Shark Warning,3.4,247,94,Action
Alien Country,4.4,347,96,Action
WWII: Operation Phoenix,6.7,61,106,Action
Khadaan,7.4,2000,137,Action
Bionic,4.3,1700,110,Action
The Bouncer,4.3,80,78,Action
Mother Mafia,3.3,46,80,Action
Martin,2.3,36000,147,Action
Kuang Bao Ju Xi,6.2,66,75,Action
Sector 17,7.4,1300,146,Action
Yolo,6.9,3600,129,Action
Bade Miyan Chote Miyan,3.8,39000,163,Action
Baby Assassins: Nice Days,7.3,265,103,Action
The Twisters,2.5,314,86,Action
Hunting with Tigers,5.6,502,109,Action
Devil's Knight,5.3,759,90,Action
Rob N Roll,6.1,1400,98,Action
Bureau 749,4.1,497,123,Action
Auron Mein Kahan Dum Tha,6.6,40000,150,Action
40 Acres,6.4,97,113,Action
Toofan,7.1,6100,145,Action
Citizen of a Kind,6.7,766,114,Action
Pimpinero: Blood and Oil,5.7,533,121,Action
Ka Whawhai Tonu,7.4,169,115,Action
Eye for an Eye 2,6.5,476,90,Action
The Friendly,8.1,15,101,Action
S.T.A.L.K.E.R.: Shadow of the Zone,5.2,446,72,Action
Hellhound,4.3,482,103,Action
School of Magical Animals 3,5.9,294,105,Action
Paradise,6.9,77,83,Action
Mummy Shark,2.0,165,66,Action
Bonus Trip,4.5,216,113,Action
Agastya - Chapter 1,6.9,576,168,Action
Kahar: Kapla High Council,6.9,437,102,Action
The Day Everything Changed,7.9,77,97,Action
Deaner '89,5.9,411,90,Action
Zebra,8.0,3200,164,Action
Bangkok Breaking: Heaven and Hell,5.8,651,146,Action
The Actor,3.3,722,128,Action
The Last of Us: Immunity,6.4,12,64,Action
Tillu Square,6.6,3400,137,Action
Crakk: Jeetega... Toh Jiyegaa,4.7,6400,154,Action
Captain Miller,6.5,8600,157,Action
The Charisma Killers,5.9,507,101,Action
Siren,6.4,2900,154,Action
Yudhra,5.0,13000,142,Action
Ayalaan,6.0,3900,155,Action
Orang Ikan,6.5,31,83,Action
Mr. Bachchan,3.6,5200,150,Action
Sorgavaasal,6.6,1300,138,Action
Taklee Genesis x Worlds Collide,5.5,381,146,Action
Non Negotiable,5.4,1200,87,Action
Witch Hunter,5.1,21,80,Action
Barroz: Guardian of Treasures,3.6,933,155,Action
The Kingdom,7.9,84,133,Action
(Pri)sons,5.0,247,100,Action
Bangkok Dog,6.4,94,85,Action
Crisis Negotiators,6.7,690,120,Action
Sheriff,6.9,1100,133,Action
The Miranda Brothers,4.4,186,99,Action
Sasan,8.5,62,155,Action
I Heart Robots,4.6,2300,76,Action
Baki Hanma VS Kengan Ashura,5.7,1900,62,Action
Bidurbhai,9.2,373,148,Action
Troubleshooters,6.4,397,110,Action
Xiong Shi Shao Nian 2,7.5,182,134,Action
Fyre Rises,6.5,321,110,Action
Art of Eight Limbs,4.0,303,101,Action
Eagle,5.9,4900,159,Action
KA,7.2,1500,151,Action
No Time to Spy: A Loud House Movie,6.4,432,81,Action
Kamen Rider 555 20th: Paradise Regained,5.9,139,65,Action
Big Rage,3.6,148,115,Action
Guy Manley: Super Spy,4.5,115,92,Action
Thundu,5.0,898,125,Action
Garudan,7.1,3300,133,Action
Gandhi 3,5.5,230,143,Action
My Fathers' Daughter,6.6,68,78,Action
Mobile Suit Gundam SEED Freedom,6.6,922,124,Action
The Drunken Prodigy,5.6,13,107,Action
American Underdog,8.8,23,89,Action
Sayen: The Huntress,4.4,250,88,Action
Love You to Debt,6.2,744,135,Action
Clone Cops,8.1,185,96,Action
The Omicron Killer,2.9,593,98,Action
Kaveri,9.1,1500,101,Action
Double Ismart,2.9,2100,156,Action
Nothing Even Matters,5.3,70,90,Action
Anunnakiler,2.6,424,76,Action
Warrior Awang and Master Tok Gajah,4.6,473,118,Action
Pottel,8.3,2700,148,Action
Aserb: The Squadron,5.2,297,120,Action
Ape X Mecha Ape: New World Order,2.7,127,87,Action
Drive,5.6,310,90,Action
Deadzone,4.2,33,80,Action
Mission: Chapter 1,5.9,1700,144,Action
They Call Her Death,6.2,22,92,Action
Dange,5.4,786,154,Action
Midas,4.6,331,85,Action
Bohurupi,8.3,1400,155,Action
Bhaiyya Ji,4.8,7300,150,Action
Fighting the Fire,8.6,1700,115,Action
Lisabi: The Uprising,6.4,121,107,Action
UmroAyyar - A New Beginning,6.9,669,135,Action
Rode College,6.6,421,168,Action
Sucha Soorma,6.5,905,136,Action
The Unbreakable Bunch,7.4,24,90,Action
Black Heat,8.0,20,93,Action
Hunt the Wicked,5.2,105,102,Action
Road Wars: Max Fury,2.0,349,83,Action
Prepare to Die,4.6,228,93,Action
Nu Huo 12 Xiao Shi,6.1,42,86,Action
Rendel: Cycle of Revenge,3.6,241,99,Action
Kizumonogatari: Koyomi Vamp,6.9,79,144,Action
Anchakkallakokkan,6.6,998,126,Action
Ship of the Damned,2.8,293,88,Action
Conquer: Lahad Datu,6.7,494,120,Action
24 Hours to D-Day,4.7,32,83,Action
Mirza: Part 1 - Joker,6.8,236,165,Action
Snatched,4.9,206,101,Action
Kondal,5.4,761,147,Action
6 Hours Away,3.9,239,93,Action
In Tenebras: Into the Darkness,3.2,171,90,Action
Cesium Fallout,6.7,406,136,Action
Where Is Gilgamesh?,9.0,603,90,Action
Kadakan,4.0,111,128,Action
Big City Greens the Movie: Spacecation,6.2,528,90,Action
The Epidemic,5.8,69,95,Action
Yuva,5.8,834,153,Action
How to Make a Werewolf,5.6,82,90,Action
Rang De Basanti,8.8,144,174,Action
Ballistic,2.3,161,95,Action
Camp Blood: Clown Shark,3.3,82,70,Action
Turbo,5.9,3500,155,Action
The Mick and the Trick,5.0,75,96,Action
What Happens in Miami,4.3,218,90,Action
Buddy,3.8,339,137,Action
Matka,4.7,571,156,Action
High Forces,5.8,499,119,Action
Malayalee from India,5.6,5000,160,Action
The Bodyguard,6.6,26,87,Action
Mutant,4.5,58,90,Action
Formed Police Unit,4.6,472,120,Action
Shark Island,4.0,114,81,Action
Naam,6.4,274,136,Action
The Moon Thieves,6.2,222,108,Action
Bhairadevi,8.8,43,134,Action
The Circuit 4: Faith Fighter,4.4,87,90,Action
Jithender Reddy,9.5,2300,136,Action
Exorcism Chronicles: The Beginning,7.0,62,85,Action
Hide and Seek,8.2,54,130,Action
Kung Fu Games,3.3,373,98,Action
Neon Fear,6.1,373,40,Action
The Traveller,5.3,199,134,Action
September Babies,6.5,280,94,Action
Honeko Akabane's Bodyguards,6.0,34,117,Action
Ghost Killer,7.2,58,105,Action
Saint Young Men: Holy Men vs Demon Army,3.0,13,93,Action
Sons of Rizk 3,6.7,1600,125,Action
Stuntman,7.0,133,114,Action
Spirit Riser,6.7,33,98,Action
Red vs. Blue: Restoration,5.6,135,85,Action
Dragon Ball Z Kai,8.4,65,82,Action
Six jours,6.3,96,95,Action
Checkmate,4.3,380,104,Action
Blade of Fury,6.1,110,90,Action
The Slave and the Sorcerer,6.7,37,86,Action
Buying Time,6.6,244,84,Action
Customs Frontline,5.4,459,115,Action
Purushothamudu,4.9,2200,120,Action
Hrashwo Deergha,7.9,79,150,Action
Petta Rap,4.2,1700,123,Action
Mechanic Rocky,6.5,3400,156,Action
Go for Broke,5.7,267,115,Action
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.8,25,71,Action
Anthima Theerpu,8.1,1500,133,Action
The Alexandrian,3.9,247,104,Action
Raqa,6.4,57,107,Action
Dark Fusion,8.5,233,90,Action
Taken from Rio Bravo,3.0,307,80,Action
Bhaje Vaayu Vegam,6.1,540,136,Action
The Grey Men,6.5,69,97,Action
The Plot,4.8,360,100,Action
Sentimentaaal,5.8,971,135,Action
Bandaa Singh Chaudhary,6.3,5200,113,Action
Pranaya Godari,7.8,2400,148,Action
Rebel,3.2,64,100,Action
Death Game,6.3,24,88,Action
Roxana,4.0,63,98,Action
Desperado,5.9,139,100,Action
Shockwaves 2,2.8,146,79,Action
Breaking and Re-entering,5.8,429,109,Action
Warning 2,7.1,879,125,Action
Next to Us,4.9,220,125,Action
Mazhai Pidikatha Manithan,4.5,416,133,Action
Oru Anveshanathinte Thudakkam,7.1,830,181,Action
The Experts,6.2,258,121,Action
Purushothamudu,7.7,12,120,Action
Saala,5.9,1100,130,Action
Election,5.9,807,120,Action
Premalo,7.3,1100,128,Action
Sabari,8.4,5400,129,Action
Losing Lerato 2,9.1,30,96,Action
Correr para Vivir,7.0,193,97,Action
Black Storm,6.6,65,97,Action
Türkler Çildirmis Olmali 2: Mavi Vatan,2.2,152,100,Action
Por,5.0,606,154,Action
Samandar,7.6,136,172,Action
Bastar: The Naxal Story,6.4,3300,124,Action
Dirty Money,5.7,107,100,Action
DNA,5.2,209,156,Action
Bheema,5.8,947,148,Action
Gold Raiders,2.0,178,88,Action
London Gangsters,4.3,11,104,Action
Komandir,6.3,512,131,Action
First Nights at Freddy's,9.2,13,98,Action
Bond of Justice: Kizuna Part I - Encounter,6.1,17,92,Action
Appudo Ippudo Eppudo,4.7,226,120,Action
Kill Craft,2.3,361,99,Action
Chaari 111,4.8,255,130,Action
Kali,5.1,405,96,Action
Saindhav,5.0,1600,138,Action
Mongol,8.7,88,155,Action
Touchdown,6.8,13,78,Action
Bonnie,7.4,32,120,Action
Reloaded 2,8.1,996,45,Action
Texas Twister,2.5,157,88,Action
The Wild Blade of Strangers,6.6,106,102,Action
Star Abyss,3.8,240,86,Action
Babu,7.7,179,142,Action
Polar,4.4,28,76,Action
Hit List,5.5,309,125,Action
Heavens: The Boy and His Robot,6.3,21,98,Action
Rajakili,8.8,538,122,Action
The Vampire and the Vigilante,3.6,46,75,Action
Operation Valentine,5.3,1400,133,Action
Ghosts of Red Ridge,3.3,144,81,Action
Permafrost,5.7,112,80,Action
Gone with the Dead,5.3,38,96,Action
Shekko,5.9,532,120,Action
Sikaar,8.3,674,150,Action
Ruslaan,3.3,1200,120,Action
South Side Hero,5.6,35,92,Action
The Infallibles,4.8,744,99,Action
Karma,4.5,17,111,Action
Naag Bhoomi,5.7,7,130,Action
Captain Avispa,5.8,172,96,Action
Raktaksha,8.5,1400,118,Action
Iddaru,9.2,293,148,Action
Iron Fighter,3.6,55,80,Action
Average Student Nani,8.1,2200,138,Action
Malaikottai Vaaliban,6.0,4100,156,Action
Gam Gam Ganesha,5.3,307,140,Action
Young Lion of the West,8.1,105,93,Action
Aho Vikramaarka,7.4,53,136,Action
Bloodline,9.1,44,80,Action
Mahadev Ka Gorakhpur,7.8,367,131,Action
Cândido,6.3,57,99,Action
Abudeka Is Back,5.2,26,120,Action
Tòkunbò,3.9,288,113,Action
Ame no naka no yokujô,6.0,66,132,Action
Shu Si Yi Bo,6.6,32,91,Action
Clownface 3,9.4,34,104,Action
Thiragabadara Saami,6.4,94,115,Action
Kiyma: Orman Kanunlari,4.3,34,81,Action
Fuuto PI: Portrait of Kamen Rider Skull,7.5,30,82,Action
Bad Boyz,4.6,605,150,Action
Raanti,6.6,1100,115,Action
Appu,8.6,181,92,Action
Second Life,6.9,40,105,Action
Artist Unknown,9.1,10,82,Action
The Desperate Chase,5.5,48,110,Action
Crosspoint,7.7,16,100,Action
Panjab Files,7.9,17,117,Action
Sous écrous,5.3,33,111,Action
Mathu Vadalara 2,7.0,1600,139,Action
Sacrum Vindictae II,4.8,12,114,Action
Rathnam,5.4,3700,155,Action
The Evil Three,7.2,848,30,Action
Neo-Dome,6.6,15,15,Action
Inkabi,4.7,77,101,Action
Lie Zhan,6.9,66,93,Action
Chasing Raine,2.3,186,101,Action
Uninvited,6.7,70,93,Action
Usha Parinayam,9.0,2100,144,Action
Sarangadhariya,8.6,3100,150,Action
Lal Salaam,4.4,1300,150,Action
Marni: The Story of Wewe Gombel,5.9,198,119,Action
The Captives,3.5,65,73,Action
The Last Chainsaw Massacre,4.0,38,75,Action
Dangerous Boys 2,5.7,8,115,Action
Stranded Pearl,6.0,27,90,Action
The Correct Way of Youth,9.3,779,90,Action
Killer Ex,3.9,52,94,Action
Emanet,7.9,28,97,Action
Cholo Zombies,4.7,101,96,Action
Jathara,8.0,1000,129,Action
Villain - Life of a Gangster,8.9,156,141,Action
Hitler,5.2,301,128,Action
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,6.8,14,90,Action
Breaking Tradition,7.3,21,87,Action
Death Bitch,7.5,19,88,Action
Naa Saami Ranga,4.5,1200,150,Action
The Burden of Nine Lives,4.8,100,116,Action
Ameena,6.3,18,107,Action
Hain,2.9,45,95,Action
Viswam,4.3,628,155,Action
Dhaaak,8.6,24,128,Action
Major Grom: The Game,6.1,1800,168,Action
Brattt,4.7,66,117,Action
Nothing Unusual,9.7,11,92,Action
Speed 220,6.8,1000,114,Action
Rocky and Bullwinkle,9.6,10,100,Action
The Escapee 3: The Final Escape,2.7,63,83,Action
Kamen Rider Geats: Jyamato Awaking,7.9,69,54,Action
Sith Wars: Episódio III - Fantasmas Dos Sith,8.8,111,99,Action
Rock 'n' Roll Ringo,6.4,52,101,Action
Yakuza Girl,2.3,65,82,Action
Death Game,5.2,14,87,Action
Bhimaa,5.1,1200,141,Action
Joachim and the Apocalypse,7.2,12,90,Action
Jorge da Capadócia,6.4,128,119,Action
Joshua: Imai Pol Kaka,4.5,583,130,Action
Telekinesis,5.9,59,106,Action
Hakkenden,5.8,70,149,Action
Soodhu Kavvum 2: Naatum Naatu Makkalum,3.7,195,129,Action
Kamen Rider Gotchard: The Future Daybreak,8.0,66,63,Action
Halloween: Mal Eterno,8.3,223,50,Action
Spider-Man: Final Swing,8.4,10,153,Action
Tariq,6.9,15,122,Action
Virunnu,7.9,875,125,Action
Wolf Warriors,8.1,17,90,Action
Weapon,5.5,5500,120,Action
Fights Break Sphere 3,4.7,8,81,Action
Genis Aile 4: Cevahir & Ulvi,6.9,53,90,Action
Usire Usire,7.5,1100,151,Action
Love You as the World Ends Final,6.5,36,115,Action
Harom Hara,7.7,3000,154,Action
Sunfall,2.5,23,74,Action
Haraa,5.5,2900,136,Action
"Silex and the City, le film",4.9,47,77,Action
Tales Beyond the Galaxy,5.5,146,76,Action
Jigar,7.1,18,122,Action
The Worlds Divide,8.0,36,120,Action
The Yoshi Movie,7.7,12,105,Action
Gangs of Godavari,5.0,898,165,Action
Hell City,9.1,25,90,Action
Dead Hand,4.1,75,92,Action
SCP: The Infinite Mission,7.0,11,90,Action
Dünya Mali: Eksi Bir,7.2,15,133,Action
Mega Twister,2.5,49,75,Action
Indrani: Epic-1 Dharam vs Karam,7.6,1100,157,Action
The Very Last Christmas,8.5,10,75,Action
Pariah Volume 1: Every Street Dog Has a Name,6.9,382,138,Action
Die Chaosschwestern und Pinguin Paul,5.6,65,100,Action
Onsen shâku,6.4,9,70,Action
Marine Drive,9.5,48,105,Action
Reeza GTR,7.4,14,91,Action
Inanimate Insanity II: The Movie,8.9,224,106,Action
The Journey of Flower,3.9,25,97,Action
Dr. Jason II - Lights & Shadows,5.5,277,62,Action
Played,6.2,11,96,Action
Surge of Power: Where There's Smoke,7.3,12,68,Action
Yao Shen Ling,6.7,66,93,Action
Faster: Only one lap,7.1,23,90,Action
Gravediggers,6.6,26,91,Action
Lorry Chapter-1,5.7,2400,183,Action
Game On,5.3,2300,140,Action
Tokusou Sentai Dekaranger 20th: Fireball Booster,7.1,29,50,Action
Agent 86,6.7,6,87,Action
Shadows of Betrayal: Chronicles of Ian Blair,7.3,12,65,Action
Chhota Bheem and the Curse of Damyaan,4.8,2300,145,Action
Krishnamma,6.2,362,138,Action
Athhoi,8.0,133,158,Action
Di Renjie: Tongtian xuan an,7.2,15,85,Action
The Heist,6.9,2000,120,Action
Thankamani,4.6,229,156,Action
Operation Star,7.6,23,102,Action
Chinatown Chacha,5.1,55,103,Action
Hope & Glory,6.6,142,44,Action
Runner,5.5,45,90,Action
Kill the Children first,7.8,25,106,Action
Supplier Shankara,9.3,69,163,Action
Jiwa 8 Belas,5.0,19,86,Action
Vey Dharuvey,6.5,2300,127,Action
The SML YTP Movie 2: Dimension Trouble,8.3,13,94,Action
Charlotte Link - Ohne Schuld,5.5,41,89,Action
Pusaka,6.4,31,90,Action
Too Little Too Late,5.5,8,66,Action
Oversteer,4.7,17,86,Action
Mirg,6.3,35,83,Action
E-mail,5.4,805,119,Action
The Mystery of Humanoid Puppet,6.7,60,88,Action
Itutumba ka ng tatay ko,5.7,28,109,Action
Useful Idiots,7.8,13,92,Action
Dheera Bhagat Roy,7.8,1100,150,Action
Cholay,8.6,53,60,Action
Hocus Focus,7.9,19,85,Action
Kade,6.5,15,92,Action
Achilles Curse and the Curse of Treasure,7.4,24,125,Action
Flow,7.9,55000,85,Animation
The Wild Robot,8.2,150000,102,Animation
The Lord of the Rings: The War of the Rohirrim,6.3,27000,134,Animation
Mufasa: The Lion King,6.6,47000,118,Animation
Despicable Me 4,6.2,62000,94,Animation
Moana 2,6.7,83000,100,Animation
Spermageddon,5.7,561,80,Animation
Inside Out 2,7.5,210000,96,Animation
Memoir of a Snail,7.8,15000,95,Animation
Wallace & Gromit: Vengeance Most Fowl,7.5,32000,82,Animation
Night of the Zoopocalypse,6.2,292,91,Animation
Transformers One,7.6,47000,104,Animation
IF,6.4,56000,104,Animation
Attack on Titan the Movie: The Last Attack,9.3,14000,145,Animation
Solo Leveling: ReAwakening,8.7,6000,121,Animation
The Day the Earth Blew Up: A Looney Tunes Movie,6.8,1200,91,Animation
The Garfield Movie,5.7,23000,101,Animation
Kung Fu Panda 4,6.3,66000,94,Animation
Harold and the Purple Crayon,5.7,7800,90,Animation
